ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10367038,HZ103074,01/03/2016 09:28:00 PM,009XX E 104TH ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0512,005,9,50,08A,,,2016,01/10/2016 08:46:55 AM,,,
10366925,HZ103077,01/03/2016 09:24:00 PM,081XX S EUCLID AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0414,004,8,46,08B,1190611,1851379,2016,01/10/2016 08:46:55 AM,41.747204072,-87.577118724,"(41.747204072, -87.577118724)"
10367424,HZ103112,01/03/2016 09:20:00 PM,006XX W 51ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SPORTS ARENA/STADIUM,false,true,0935,009,3,61,08B,,,2016,01/10/2016 08:46:55 AM,,,
10366856,HZ103067,01/03/2016 09:20:00 PM,009XX W 77TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0621,006,17,71,08B,1171463,1853781,2016,01/10/2016 08:46:55 AM,41.754235842,-87.647211724,"(41.754235842, -87.647211724)"
10366866,HZ103076,01/03/2016 09:20:00 PM,045XX N CENTRAL AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,true,false,1622,016,38,15,26,1138192,1929488,2016,01/10/2016 08:46:55 AM,41.962650054,-87.767312069,"(41.962650054, -87.767312069)"
10366890,HZ103073,01/03/2016 09:20:00 PM,009XX E 104TH ST,0460,BATTERY,SIMPLE,RESIDENCE,true,false,0512,005,9,50,08B,1184238,1836191,2016,01/10/2016 08:46:55 AM,41.705677782,-87.600944364,"(41.705677782, -87.600944364)"
10366952,HZ103157,01/03/2016 09:20:00 PM,063XX S RACINE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,CTA TRAIN,false,false,0724,007,16,67,14,1169405,1862845,2016,01/10/2016 08:46:55 AM,41.779153403,-87.65449147,"(41.779153403, -87.65449147)"
10366902,HZ103080,01/03/2016 09:16:00 PM,056XX S PRAIRIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0231,002,20,40,08B,1179001,1867736,2016,01/10/2016 08:46:55 AM,41.792361522,-87.61916287,"(41.792361522, -87.61916287)"
10366928,HZ103102,01/03/2016 09:15:00 PM,0000X E CERMAK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA STATION,false,true,0131,001,2,33,08B,1176830,1889758,2016,01/10/2016 08:46:55 AM,41.852840961,-87.626459189,"(41.852840961, -87.626459189)"
10366874,HZ103058,01/03/2016 09:15:00 PM,021XX W OHIO ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1221,012,26,24,08B,1161989,1903988,2016,01/10/2016 08:46:55 AM,41.89221171,-87.680533029,"(41.89221171, -87.680533029)"
10366904,HZ103066,01/03/2016 09:11:00 PM,071XX S RACINE AVE,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,true,false,0734,007,17,67,15,1169561,1857280,2016,01/10/2016 08:46:55 AM,41.763878968,-87.65408069,"(41.763878968, -87.65408069)"
10366897,HZ103084,01/03/2016 09:05:00 PM,035XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1133,011,24,29,08B,1152883,1894828,2016,01/10/2016 08:46:55 AM,41.867260945,-87.714218314,"(41.867260945, -87.714218314)"
10367004,HZ103093,01/03/2016 09:02:00 PM,027XX W 25TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,1034,010,12,30,26,1158530,1887293,2016,01/10/2016 08:46:55 AM,41.846470482,-87.693693358,"(41.846470482, -87.693693358)"
10368243,HZ103143,01/03/2016 09:00:00 PM,080XX S PAULINA ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0611,006,21,71,06,,,2016,01/10/2016 08:46:55 AM,,,
10367034,HZ103244,01/03/2016 09:00:00 PM,082XX S PERRY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0622,006,21,44,07,1177039,1850453,2016,01/10/2016 08:46:55 AM,41.744979568,-87.626877715,"(41.744979568, -87.626877715)"
10367173,HZ103366,01/03/2016 09:00:00 PM,027XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0133,001,2,35,14,1178499,1886506,2016,01/10/2016 08:46:55 AM,41.843879386,-87.620432585,"(41.843879386, -87.620432585)"
10367481,HZ103519,01/03/2016 09:00:00 PM,043XX N BROADWAY,0820,THEFT,$500 AND UNDER,STREET,false,false,1915,019,46,3,06,1168860,1929060,2016,01/10/2016 08:46:55 AM,41.960864333,-87.654569983,"(41.960864333, -87.654569983)"
10367665,HZ103127,01/03/2016 09:00:00 PM,088XX S DORCHESTER AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,false,true,0412,004,8,48,26,,,2016,01/10/2016 08:46:55 AM,,,
10367775,HZ103842,01/03/2016 09:00:00 PM,049XX W WRIGHTWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2521,025,31,19,07,1142993,1916844,2016,01/10/2016 08:46:55 AM,41.927865372,-87.749976778,"(41.927865372, -87.749976778)"
10367927,HZ104051,01/03/2016 09:00:00 PM,013XX S KEDVALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1011,010,24,29,14,1148929,1893484,2016,01/10/2016 08:46:55 AM,41.863650183,-87.72876889,"(41.863650183, -87.72876889)"
10369191,HZ105121,01/03/2016 09:00:00 PM,024XX W OHIO ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1221,012,26,24,08B,,,2016,01/10/2016 08:46:55 AM,,,
10366851,HZ103056,01/03/2016 08:55:00 PM,031XX W MADISON ST,1330,CRIMINAL TRESPASS,TO LAND,GOVERNMENT BUILDING/PROPERTY,true,false,1124,011,28,27,26,1155497,1899851,2016,01/10/2016 08:46:55 AM,41.880992442,-87.704486793,"(41.880992442, -87.704486793)"
10366865,HZ103054,01/03/2016 08:47:00 PM,019XX W MADISON ST,0460,BATTERY,SIMPLE,SPORTS ARENA/STADIUM,false,false,1223,012,27,28,08B,1163655,1900042,2016,01/10/2016 08:46:55 AM,41.881348623,-87.674525788,"(41.881348623, -87.674525788)"
10366924,HZ103042,01/03/2016 08:45:00 PM,080XX S MERRILL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0414,004,8,46,14,1191927,1851994,2016,01/10/2016 08:46:55 AM,41.748859847,-87.572276688,"(41.748859847, -87.572276688)"
10366841,HZ103038,01/03/2016 08:40:00 PM,008XX W 87TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0613,006,21,71,07,1172355,1847242,2016,01/10/2016 08:46:55 AM,41.736272399,-87.64413477,"(41.736272399, -87.64413477)"
10366870,HZ103078,01/03/2016 08:40:00 PM,017XX N MASON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2531,025,29,25,14,1136480,1910957,2016,01/10/2016 08:46:55 AM,41.911829862,-87.774051027,"(41.911829862, -87.774051027)"
10366995,HZ103125,01/03/2016 08:34:00 PM,007XX N LARRABEE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1831,018,42,8,07,1172198,1905443,2016,01/10/2016 08:46:55 AM,41.89598506,-87.642996947,"(41.89598506, -87.642996947)"
10368138,HZ104182,01/03/2016 08:30:00 PM,012XX N CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1423,014,26,24,06,,,2016,01/10/2016 08:46:55 AM,,,
10366831,HZ103023,01/03/2016 08:30:00 PM,026XX N CLARK ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1935,019,43,7,06,1171902,1917980,2016,01/10/2016 08:46:55 AM,41.930393757,-87.643713853,"(41.930393757, -87.643713853)"
10366843,HZ103064,01/03/2016 08:30:00 PM,060XX S MOZART ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0823,008,15,66,14,1158411,1864567,2016,01/10/2016 08:46:55 AM,41.784109907,-87.69474988,"(41.784109907, -87.69474988)"
10366882,HZ103059,01/03/2016 08:30:00 PM,055XX S JUSTINE ST,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,0713,007,16,67,07,1166954,1867942,2016,01/10/2016 08:46:55 AM,41.793192941,-87.663331471,"(41.793192941, -87.663331471)"
10367218,HZ103150,01/03/2016 08:30:00 PM,015XX W WEBSTER AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1811,018,32,7,06,,,2016,01/10/2016 08:46:55 AM,,,
10366807,HZ103018,01/03/2016 08:25:00 PM,038XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS STOP,false,true,1122,011,28,26,08B,1150884,1899740,2016,01/10/2016 08:46:55 AM,41.88077935,-87.721428432,"(41.88077935, -87.721428432)"
